datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,is_green_day,is_red_day,is_GSD,is_RSD,is_GD,is_RD,day_type,day_count
2026-03-09 05:00:00,5076.02,5081.36,5028.54,5036.25,22622.0,5096.872094017062,5118.829985419869,5127.5550657581125,5129.815299999999,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5028.54,False,True,False,True,False,False,RSD,1
2026-03-09 05:15:00,5036.255,5053.27,5032.975,5046.295,19306.0,5086.75667521365,5111.194723796726,5124.368396512697,5129.1956,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5028.54,False,True,False,True,False,False,RSD,1
2026-03-09 05:30:00,5046.095,5060.425,5044.195,5052.39,11275.0,5079.88334017092,5105.004752870755,5121.545714296512,5128.4425,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5028.54,False,True,False,True,False,False,RSD,1
2026-03-09 05:45:00,5052.385,5057.91,5033.69,5050.03,21015.0,5073.912672136737,5099.217936779097,5118.741176480963,5127.6709,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5028.54,False,True,False,True,False,False,RSD,1
2026-03-09 06:00:00,5049.625,5074.81,5015.045,5072.465,40468.0,5073.62313770939,5096.401838170771,5116.926424462102,5127.1973,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 06:15:00,5072.455,5087.895,5070.055,5071.89,24597.0,5073.276510167512,5093.82164467911,5115.1602901694705,5126.9692,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 06:30:00,5072.08,5086.335,5071.46,5079.605,20404.0,5074.54220813401,5092.32515576552,5113.765965064785,5127.092900000001,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 06:45:00,5079.57,5082.545,5065.35,5070.165,21319.0,5073.666766507208,5089.992507790202,5112.056123297539,5126.8319,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 07:00:00,5070.235,5095.325,5055.21,5094.735,21982.0,5077.880413205767,5090.491717496496,5111.376863560381,5126.2938,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 07:15:00,5094.74,5094.885,5072.835,5077.54,15257.0,5077.812330564613,5089.128378812654,5110.049927734483,5126.1422,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 07:30:00,5077.505,5094.155,5076.07,5092.835,21988.0,5080.816864451691,5089.518549463954,5109.374832529209,5126.0539,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 07:45:00,5092.82,5099.21,5085.93,5094.655,13804.0,5083.5844915613525,5090.059228467748,5108.797584194731,5125.8576,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
2026-03-09 08:00:00,5095.515,5099.82,5084.245,5087.295,15954.0,5084.326593249082,5089.76825705009,5107.954345598859,5125.8108999999995,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5015.045,False,True,False,True,False,False,RSD,1
