datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,GD,RD,GSD,RSD,inside_day,FBR,FBR_bull,FBR_bear,clean_BO,clean_BO_bull,clean_BO_bear
2026-04-01 22:45:00,4782.185,4783.57,4774.035,4774.64,8578.0,4778.991633088943,4770.5505752095705,4743.411120442799,4741.6746,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 23:00:00,4774.63,4775.49,4759.105,4771.355,20022.0,4777.4643064711545,4770.6352515032995,4744.506958856808,4743.057,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 23:15:00,4771.365,4771.97,4753.295,4754.13,21494.0,4772.797445176924,4768.897856608215,4744.884333019286,4744.448399999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 23:30:00,4754.2,4766.255,4742.17,4757.005,20501.0,4769.63895614154,4767.645976965245,4745.35965329304,4745.634099999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 23:45:00,4756.93,4758.56,4751.635,4753.28,11014.0,4766.367164913232,4766.13376886364,4745.670255124685,4746.507799999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 00:00:00,4753.27,4765.37,4751.335,4759.945,12482.0,4765.082731930586,4765.482319509572,4746.2300490413645,4747.5353000000005,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 00:15:00,4759.94,4769.36,4758.775,4765.715,12002.0,4765.209185544469,4765.506812192775,4746.994164765233,4748.233,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 00:30:00,4765.705,4778.21,4763.365,4769.325,12409.0,4766.032348435575,4765.908726698799,4747.869883794047,4749.307900000001,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 00:45:00,4769.33,4771.84,4758.21,4766.205,19533.0,4766.06687874846,4765.939913362084,4748.588907958987,4750.1682,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-02 01:00:00,4766.185,4769.82,4762.68,4768.755,5386.0,4766.604502998768,4766.236238271338,4749.37973509785,4750.9295,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
