datetime,open,high,low,close,volume
2026-04-06 17:45:00,1.15514,1.15545,1.15513,1.15533,1910.0
2026-04-06 18:00:00,1.15533,1.15561,1.15492,1.15555,1945.0
2026-04-06 18:15:00,1.15555,1.15572,1.15538,1.15572,1597.0
2026-04-06 18:30:00,1.15572,1.156,1.15556,1.1556,3016.0
2026-04-06 18:45:00,1.1556,1.1561299999999999,1.15551,1.15594,2537.0
2026-04-06 19:00:00,1.15594,1.15661,1.15542,1.15585,4536.0
2026-04-06 19:15:00,1.15585,1.15672,1.15579,1.15656,4000.0
2026-04-06 19:30:00,1.15656,1.15716,1.15529,1.15622,7021.0
2026-04-06 19:45:00,1.15622,1.15626,1.15426,1.1542999999999999,7356.0
2026-04-06 20:00:00,1.1542999999999999,1.15437,1.15371,1.15378,4675.0
2026-04-06 20:15:00,1.15378,1.1542,1.15355,1.15401,2854.0
2026-04-06 20:30:00,1.15401,1.15417,1.15364,1.15404,1907.0
2026-04-06 20:45:00,1.15404,1.15444,1.15385,1.15442,1835.0
2026-04-06 21:00:00,1.15442,1.15478,1.15439,1.15469,1654.0
2026-04-06 21:15:00,1.15469,1.1547,1.15422,1.15463,1404.0
2026-04-06 21:30:00,1.15463,1.15481,1.15438,1.15466,1392.0
2026-04-06 21:45:00,1.15466,1.15478,1.15426,1.15451,2623.0
2026-04-06 22:00:00,1.15451,1.15451,1.1535199999999999,1.15365,3548.0
2026-04-06 22:15:00,1.15365,1.15443,1.1534,1.15437,2904.0
2026-04-06 22:30:00,1.15437,1.15488,1.15406,1.15423,2357.0
2026-04-06 22:45:00,1.15423,1.15442,1.15401,1.15415,1567.0
2026-04-06 23:00:00,1.15415,1.15512,1.15396,1.15481,3221.0
2026-04-06 23:15:00,1.15481,1.15526,1.15477,1.15505,2468.0
2026-04-06 23:30:00,1.15505,1.1552,1.15445,1.15446,2237.0
2026-04-06 23:45:00,1.15446,1.15468,1.15437,1.15456,1786.0
2026-04-07 00:00:00,1.15456,1.15467,1.15434,1.15448,1636.0
2026-04-07 00:15:00,1.15448,1.15455,1.15416,1.15422,969.0
2026-04-07 00:30:00,1.15422,1.15439,1.15406,1.15438,950.0
2026-04-07 00:45:00,1.15438,1.15468,1.15426,1.15427,1363.0
2026-04-07 01:00:00,1.15427,1.15435,1.15408,1.15418,830.0
2026-04-07 01:15:00,1.15418,1.15445,1.15416,1.15433,608.0
2026-04-07 01:30:00,1.15433,1.15439,1.15422,1.15434,483.0
2026-04-07 01:45:00,1.15434,1.15439,1.15394,1.15402,968.0
2026-04-07 02:00:00,1.15402,1.15407,1.1536899999999999,1.15407,169.0
2026-04-07 02:15:00,1.15407,1.15419,1.15387,1.15388,408.0
2026-04-07 02:30:00,1.15388,1.15437,1.15388,1.15435,321.0
2026-04-07 02:45:00,1.15435,1.15437,1.15398,1.15419,1320.0
2026-04-07 03:00:00,1.15419,1.15478,1.15419,1.15451,389.0
2026-04-07 03:15:00,1.15451,1.15465,1.1542999999999999,1.15443,533.0
2026-04-07 03:30:00,1.15443,1.15452,1.15433,1.15433,2542.0
2026-04-07 03:45:00,1.15433,1.15442,1.1542,1.15424,566.0
2026-04-07 04:00:00,1.15424,1.15434,1.15421,1.15431,389.0
2026-04-07 04:15:00,1.15431,1.15432,1.15406,1.15407,239.0
2026-04-07 04:30:00,1.15407,1.1541,1.15388,1.15405,325.0
2026-04-07 04:45:00,1.15405,1.15424,1.15403,1.15407,611.0
2026-04-07 05:00:00,1.15407,1.15419,1.15379,1.15418,1992.0
2026-04-07 05:15:00,1.15418,1.15439,1.15398,1.154,2147.0
2026-04-07 05:30:00,1.154,1.15408,1.15364,1.15379,1378.0
