time,open,high,low,close,Volume
1762795200,4094.92,4096.96,4094.92,4096.86,1824
1762795500,4096.83,4098.29,4096.41,4096.85,1615
1762795800,4096.68,4097.87,4095.24,4097.16,1859
1762796100,4097.16,4098.15,4095.05,4095.77,1898
1762796400,4095.76,4096.92,4093.89,4094.83,1899
1762796700,4094.84,4098.23,4094.51,4098.18,1892
1762797000,4098.27,4099.6,4096.92,4099.27,1873
1762797300,4099.33,4102.59,4099.33,4102.49,1714
1762797600,4102.47,4103.84,4101.51,4102.68,1872
1762797900,4102.68,4103.99,4102.3,4103.55,2036
1762798200,4103.5,4105.02,4102.7,4104.71,1776
1762798500,4104.72,4110.71,4104.65,4109.24,1972
1762798800,4109.47,4111.05,4108.55,4109.74,2052
1762799100,4109.74,4114.58,4108.39,4114.15,2121
1762799400,4114.21,4115.91,4113,4113.47,2108
1762799700,4113.59,4113.61,4109.77,4110.14,1878
1762800000,4110.15,4110.23,4107.16,4109.14,1982
1762800300,4109.27,4109.47,4106.18,4106.72,1842
1762800600,4106.73,4107.78,4105.68,4107.44,1761
1762800900,4107.46,4110.48,4107.28,4110.14,1764
1762801200,4110.22,4110.47,4107.83,4109.23,1768
1762801500,4109.28,4110.82,4108.49,4110.09,1333
1762801800,4110.07,4114.57,4109.94,4113.37,1634
1762802100,4113.41,4113.73,4110.26,4111.12,1600
1762802400,4110.78,4113.53,4110.26,4112.83,1631
1762802700,4112.81,4115.51,4112.67,4114.5,1449
1762803000,4114.53,4114.78,4111.73,4112.94,1481
1762803300,4112.93,4113.72,4111.56,4112.25,1262
1762803600,4112.26,4114.26,4110.53,4110.59,1354
1762803900,4110.61,4112.49,4109.42,4111.59,1493
1762804200,4111.58,4112.83,4111.05,4112.39,1258
1762804500,4112.38,4113.86,4111.67,4113.32,1824
1762804800,4113.33,4114.67,4112.55,4113.9,1533
1762805100,4113.93,4114.11,4112.79,4113.82,1544
1762805400,4113.86,4114.33,4111.45,4111.72,1684
1762805700,4111.75,4112,4107.23,4107.27,2062
1762806000,4107.23,4111.21,4106.66,4111.09,2051
1762806300,4111.07,4112.72,4110.64,4111.24,1617
1762806600,4111.22,4111.44,4108.1,4110.57,1940
1762806900,4110.67,4112.65,4109.55,4110.47,1697
1762807200,4110.58,4113.06,4110.58,4113.06,1340
1762807500,4113.08,4113.23,4110.41,4110.5,1786
1762807800,4110.49,4111.83,4109.09,4109.31,1942
1762808100,4109.3,4112.7,4108.08,4111.79,2115
1762808400,4111.81,4112.11,4110.44,4111.92,1020
1762808700,4111.93,4112.9,4111.58,4112.29,920
1762809000,4112.28,4112.39,4110.97,4111.63,821
1762809300,4111.6,4113.2,4111.53,4112.91,762
1762809600,4112.9,4114.63,4112.88,4114.5,640
1762809900,4114.62,4114.62,4112.02,4112.41,707
1762810200,4112.4,4113.23,4111.53,4112.86,788
1762810500,4112.97,4113.75,4112.73,4113.54,653
1762810800,4113.6,4114.18,4112.62,4113.8,674
1762811100,4113.8,4115.94,4113.44,4115.69,928
1762811400,4115.65,4116.67,4114.72,4116.16,1121
1762811700,4116.19,4116.19,4114.75,4115.96,714
1762815600,4116.61,4117.34,4115.29,4116.53,1134
1762815900,4116.51,4120.33,4116.21,4120.09,1808
1762816200,4120.09,4120.51,4118.61,4119.21,1573
1762816500,4119.22,4120.29,4117.51,4117.53,1353
1762816800,4117.52,4120.7,4115.64,4119.57,1754
1762817100,4119.87,4120.5,4118.81,4120.07,1558
1762817400,4120.25,4120.45,4118.17,4119.15,1836
1762817700,4119.46,4119.79,4118.27,4118.66,1348
1762818000,4118.67,4120.3,4118.67,4119.96,1489
1762818300,4120.05,4122.83,4119.54,4122.57,1696
1762818600,4122.56,4122.58,4117.11,4119.19,1628
1762818900,4119.19,4120.03,4117.31,4120.01,1322
1762819200,4120.21,4120.55,4116.5,4117.4,1571
1762819500,4117.44,4118.58,4116.2,4118.21,1210
1762819800,4118.3,4119.94,4117.61,4119.7,998
1762820100,4119.68,4121.59,4119.52,4120.47,1765
1762820400,4120.46,4122.42,4119.59,4121.21,1544
1762820700,4121.09,4126.19,4120.66,4124.84,1943
1762821000,4124.83,4128.29,4124.74,4127.17,1823
1762821300,4127.17,4128.03,4125.8,4126.85,1542
1762821600,4126.88,4129.3,4125.48,4129.19,1431
1762821900,4129.24,4130.81,4127.62,4130.6,1727
1762822200,4130.61,4132.93,4130.27,4132.47,1934
1762822500,4132.5,4133.77,4129.66,4131.06,1808
1762822800,4131.04,4135.37,4129.2,4130.24,2322
1762823100,4130.12,4133.19,4127.84,4129.93,2141
1762823400,4130.02,4133.61,4129.42,4132.43,2087
1762823700,4132.38,4136.49,4130.23,4131.06,2115
1762824000,4131.05,4133.33,4130.56,4132.57,1710
1762824300,4132.86,4137.99,4132.85,4137.35,1904
1762824600,4137.39,4141.03,4137.37,4141,1839
1762824900,4140.95,4141,4136.67,4139.68,2072
1762825200,4139.6,4140.95,4135.49,4135.49,1704
1762825500,4135.36,4136.84,4131.9,4135.6,2155
1762825800,4135.56,4136.75,4131.77,4132.02,1807
1762826100,4131.75,4136.86,4130.53,4136.33,2047
1762826400,4136.4,4137.05,4130.88,4132.8,1919
1762826700,4132.78,4135,4130.24,4134.32,1765
1762827000,4134.29,4135.54,4133.32,4134.67,1578
1762827300,4134.64,4134.93,4132.16,4133.11,1440
